image_path,rank,color_hex,share
data/latest/images/Chanel_haute_couture_2020_e40cd89f511a66d3.jpg,4,#f0eeea,0.19015102507961784
data/latest/images/Chanel_haute_couture_2020_e40cd89f511a66d3.jpg,5,#7f6c6b,0.09095964371019108
data/latest/images/Gucci_Fall_2013_runway_8cc6266e9447daf3.jpg,1,#141715,0.7155508391365428
data/latest/images/Gucci_Fall_2013_runway_8cc6266e9447daf3.jpg,2,#373530,0.14186392543694012
data/latest/images/Gucci_Fall_2013_runway_8cc6266e9447daf3.jpg,3,#706a69,0.07155319566760827
data/latest/images/Gucci_Fall_2013_runway_8cc6266e9447daf3.jpg,4,#b0a09a,0.0407068082599435
data/latest/images/Gucci_Fall_2013_runway_8cc6266e9447daf3.jpg,5,#fcfaf9,0.030325231498965242
data/latest/images/Chanel_haute_couture_2020_21410c70fd8aab83.jpg,1,#0c0a0f,0.3339240506329114
data/latest/images/Chanel_haute_couture_2020_21410c70fd8aab83.jpg,2,#332f33,0.28592827004219407
data/latest/images/Chanel_haute_couture_2020_21410c70fd8aab83.jpg,3,#6a6264,0.26004303797468353
data/latest/images/Chanel_haute_couture_2020_21410c70fd8aab83.jpg,4,#e1d7d5,0.060533333333333335
data/latest/images/Chanel_haute_couture_2020_21410c70fd8aab83.jpg,5,#a99895,0.059571308016877635
data/latest/images/Gucci_Fall_2013_runway_a217233149ced9ae.jpg,1,#030404,0.608513715880471
data/latest/images/Gucci_Fall_2013_runway_a217233149ced9ae.jpg,2,#393e44,0.19052481110884215
data/latest/images/Gucci_Fall_2013_runway_a217233149ced9ae.jpg,3,#4c627d,0.10293121639098768
data/latest/images/Gucci_Fall_2013_runway_a217233149ced9ae.jpg,4,#808fa1,0.07615121502960996
data/latest/images/Gucci_Fall_2013_runway_a217233149ced9ae.jpg,5,#c8c4c3,0.02187904159008917
data/latest/images/Chanel_haute_couture_2020_9b4ba97172e5bbda.jpg,1,#c3c9d9,0.30998842975206614
data/latest/images/Chanel_haute_couture_2020_9b4ba97172e5bbda.jpg,2,#a8a8ad,0.2708914600550964
data/latest/images/Chanel_haute_couture_2020_9b4ba97172e5bbda.jpg,3,#8b8787,0.21363085399449036
data/latest/images/Chanel_haute_couture_2020_9b4ba97172e5bbda.jpg,4,#625f5d,0.11381928374655648
data/latest/images/Chanel_haute_couture_2020_9b4ba97172e5bbda.jpg,5,#2a2a27,0.09166997245179064
data/latest/images/Chanel_haute_couture_2020_b2271c8f2ad1e1cc.jpg,1,#3f462d,0.25546145833333334
data/latest/images/Chanel_haute_couture_2020_b2271c8f2ad1e1cc.jpg,2,#1a2012,0.238109375
data/latest/images/Chanel_haute_couture_2020_b2271c8f2ad1e1cc.jpg,3,#a29b92,0.20926666666666666
data/latest/images/Chanel_haute_couture_2020_b2271c8f2ad1e1cc.jpg,4,#6d705a,0.160275
data/latest/images/Chanel_haute_couture_2020_b2271c8f2ad1e1cc.jpg,5,#c7c7ca,0.1368875
